id,food_name,category,portion,calories,protein_g,carbs_g,fat_g,tags
69,Parippu Payasam,Dessert,1 cup,260,6,42,7,protein
70,Ada Pradhaman,Dessert,1 cup,320,5,50,12,cheat-meal
71,Chakka Varatti,Dessert,2 tbsp,120,0.5,30,0,vegan
72,Halwa,Dessert,100g,400,2,60,18,cheat-meal
73,Jalebi,Dessert,100g,450,2,70,18,cheat-meal
74,Laddu,Dessert,1 piece,150,2,25,5,
75,Banana Chips,Snack,30g,160,1,15,11,cheat-meal
76,Chakka Chips,Snack,30g,150,1,18,8,
77,Kara,Snack,30g,140,3,15,8,protein
78,Mixture,Snack,30g,150,4,16,8,
79,Murukku,Snack,30g,155,2,18,8,
80,Kerala Porotta + Beef,Bread+Meat,1 porotta+100g beef,500,25,35,28,cheat-meal|muscle-gain
81,Pathiri,Bread,1 piece,80,2,16,1,gluten-free
82,Irachi Pathiri,Snack,1 piece,180,8,20,8,muscle-gain
83,Oratti,Breakfast,1 piece,140,3,28,2,
84,Noolputtu,Breakfast,1 cup,130,3,26,1,bf-friendly
85,Idiyappam,Breakfast,2 pieces,150,3,30,1,low-fat
86,Kadalai,Snack,30g,170,7,15,9,vegan|protein|iron
87,Peechinga Thoran,Veg,1 cup,50,1,8,2,weight-loss|fiber
88,Padavalanga Thoran,Veg,1 cup,55,1,9,2,diabetes-friendly
89,Vendakka Mezhukkupuratti,Veg,1 cup,80,2,10,4,
90,Chembu Asthram,Root,1 cup,120,1,28,0,gluten-free
91,Chena Mezhukkupuratti,Root,1 cup,110,1,25,1,
92,Kovakka Thoran,Veg,1 cup,45,1,8,1,weight-loss
93,Payar Thoran,Veg,1 cup,90,5,12,3,vegan|protein|iron
94,Cheera Thoran,Veg,1 cup,40,2,5,2,iron|postpartum
95,Muringakka Sambar,Curry,1 cup,85,3,13,2,calcium
96,Thakkali Curry,Curry,1 cup,60,1,10,2,vegan
97,Ulli Theeyal,Curry,1 cup,110,2,15,5,
98,Varutharacha Kozhi,Meat,100g,240,18,3,17,muscle-gain
99,Nadan Kozhi Roast,Meat,100g,220,19,2,15,
100,Mutta Thoran,Egg,2 eggs,180,12,2,14,protein|bf-friendly
